company,industry,country,year,month,stage,company_size,layoffs_count,layoffs_pct,funds_raised_m,reason,stock_impact_pct,severity
LinkedIn,Gaming,UK,2021,7,Series D+,73459,2708,0.0369,655.6,Over-hiring Post-COVID,,Low
Cisco,Hardware,USA,2022,4,Series B,39718,10128,0.255,113.7,Cost Cutting,,High
Oracle,AI/ML,Germany,2023,9,Public,143785,20073,0.1396,5585.7,Over-hiring Post-COVID,-4.0,Medium
Lyft,Cloud Computing,Singapore,2022,12,Series C,28960,5159,0.1781,74.3,Cost Cutting,,High
Klarna,Logistics,Brazil,2021,1,Public,125079,8724,0.0697,1861.2,Restructuring,-5.8,Medium
Klarna,Cloud Computing,UK,2022,7,Public,65180,14529,0.2229,3726.2,Restructuring,-5.2,High
Better.com,Gaming,UK,2023,6,Private Equity,31517,3133,0.0994,1624.3,IPO Preparation,,Medium
Twitter/X,FinTech,Singapore,2020,8,Series A,92538,13159,0.1422,36.2,Market Downturn,,Medium
Coinbase,Cybersecurity,India,2021,5,Series A,20015,907,0.0454,63.6,Merger/Acquisition,,Low
Spotify,Gaming,USA,2022,1,Series C,139206,5602,0.0402,122.1,Regulatory Pressure,,Low
Stripe,EdTech,UK,2024,1,Series B,33501,5864,0.1751,83.9,Market Downturn,,High
Lyft,Gaming,USA,2023,9,Public,1891,159,0.0845,8040.2,Over-hiring Post-COVID,-3.82,Medium
Intel,Cloud Computing,UK,2023,10,Public,109888,5680,0.0517,5262.2,Restructuring,-11.37,Medium
Opendoor,Hardware,UK,2022,6,Public,42715,2927,0.0685,6769.7,Market Downturn,-1.64,Medium
Better.com,E-Commerce,Germany,2023,10,Series C,80220,14112,0.1759,546.1,Restructuring,,High
Dropbox,HealthTech,USA,2020,5,Series D+,27614,1924,0.0697,578.0,Cost Cutting,,Medium
LinkedIn,E-Commerce,USA,2023,1,Public,143454,15864,0.1106,4801.4,Market Downturn,-5.36,Medium
Gorillas,Cloud Computing,UK,2024,6,Series C,113642,13773,0.1212,267.3,Over-hiring Post-COVID,,Medium
Klarna,HealthTech,France,2023,6,Series B,148845,1488,0.01,26.2,IPO Preparation,,Low
Shopify,EdTech,India,2024,3,Series D+,106706,1067,0.01,700.7,Market Downturn,,Low
Robinhood,Cybersecurity,USA,2023,8,Public,46147,6779,0.1469,6762.1,Restructuring,3.68,Medium
Klarna,AI/ML,Singapore,2021,1,Public,43179,2635,0.061,6081.2,Product Pivot,-2.08,Medium
Meta,SaaS,Netherlands,2024,1,Public,927,189,0.2045,6238.2,Product Pivot,-6.31,High
Klarna,Cloud Computing,USA,2020,6,Public,130169,25688,0.1973,4249.0,IPO Preparation,-4.75,High
Gorillas,Hardware,USA,2023,10,Series C,66767,11853,0.1775,221.3,IPO Preparation,,High
HP,Logistics,Canada,2021,1,Series C,1299,344,0.2656,452.3,Merger/Acquisition,,High
Google,Cloud Computing,Australia,2020,6,Series C,56159,6365,0.1134,240.3,IPO Preparation,,Medium
Meta,Cloud Computing,Brazil,2022,1,Series D+,7525,1293,0.1719,894.1,Restructuring,,High
Twitter/X,HealthTech,Netherlands,2022,6,Series B,14981,1097,0.0732,127.8,Regulatory Pressure,,Medium
eBay,Social Media,Germany,2023,3,Public,25911,8192,0.3162,7923.4,Cost Cutting,-6.47,High
HP,Gaming,UK,2023,8,Series D+,106428,29660,0.2787,1110.9,Market Downturn,,High
Robinhood,Hardware,USA,2020,6,Series B,123514,14939,0.121,57.8,IPO Preparation,,Medium
Stripe,Social Media,USA,2021,11,Public,146533,22115,0.1509,2624.9,Product Pivot,-7.65,High
IBM,EdTech,UK,2023,1,Public,52190,11938,0.2287,6157.8,Cost Cutting,-0.54,High
IBM,Logistics,Germany,2022,5,Series A,53370,5776,0.1082,39.0,Regulatory Pressure,,Medium
eBay,Cybersecurity,Germany,2023,8,Public,87428,5898,0.0675,4089.7,Restructuring,-4.54,Medium
Dell,FinTech,Canada,2023,3,Series C,71265,13534,0.1899,421.9,Cost Cutting,,High
Wayfair,EdTech,USA,2024,12,Public,24272,3064,0.1263,5374.9,Restructuring,2.98,Medium
Wayfair,FinTech,Germany,2023,6,Series C,130917,17626,0.1346,306.3,Regulatory Pressure,,Medium
Microsoft,Hardware,USA,2022,5,Public,19299,1027,0.0533,6559.7,Regulatory Pressure,-6.65,Medium
Twilio,Hardware,USA,2023,6,Public,112551,1125,0.01,4249.8,Merger/Acquisition,-7.82,Low
Gorillas,FinTech,Canada,2022,10,Series C,130441,18117,0.1389,488.2,Market Downturn,,Medium
Dropbox,Hardware,India,2022,1,Public,24055,4628,0.1924,3423.9,Cost Cutting,-4.52,High
IBM,Cybersecurity,Brazil,2023,7,Series D+,92652,9444,0.1019,1010.2,Regulatory Pressure,,Medium
Unity,E-Commerce,USA,2022,9,Public,127719,30003,0.2349,7867.7,Market Downturn,-7.57,High
Bolt,Social Media,UK,2023,2,Public,135833,8650,0.0637,2245.4,Cost Cutting,-7.35,Medium
Dell,Cloud Computing,USA,2024,10,Public,120333,4286,0.0356,4313.3,Restructuring,-1.9,Low
Wayfair,AI/ML,USA,2024,5,Public,69502,7966,0.1146,7284.4,Regulatory Pressure,-10.08,Medium
Spotify,FinTech,France,2024,10,Series A,47053,5335,0.1134,58.5,Restructuring,,Medium
Shopify,Logistics,India,2022,4,Public,3588,651,0.1816,4657.0,Cost Cutting,-6.17,High
Coinbase,EdTech,Netherlands,2022,6,Series D+,46283,2684,0.058,564.9,Merger/Acquisition,,Medium
Amazon,E-Commerce,USA,2023,6,Public,1615,370,0.2294,6911.9,Restructuring,-10.18,High
Salesforce,FinTech,France,2022,11,Public,73408,20359,0.2774,7367.1,Over-hiring Post-COVID,-3.56,High
Coinbase,E-Commerce,USA,2023,2,Series A,69609,8135,0.1169,21.4,Over-hiring Post-COVID,,Medium
Coinbase,E-Commerce,Netherlands,2023,2,Public,3478,765,0.22,2592.2,Market Downturn,-3.75,High
Netflix,FinTech,USA,2023,4,Private Equity,109443,3883,0.0355,1635.2,IPO Preparation,,Low
Twilio,HealthTech,USA,2022,1,Public,9922,2044,0.206,6258.7,Over-hiring Post-COVID,-2.61,High
Cisco,Gaming,UK,2022,9,Series B,89733,18285,0.2038,105.6,Over-hiring Post-COVID,,High
Coinbase,Logistics,Singapore,2022,7,Series D+,56674,10715,0.1891,1017.4,Merger/Acquisition,,High
PayPal,Cloud Computing,USA,2021,12,Series A,38243,4541,0.1188,28.6,Merger/Acquisition,,Medium
Better.com,Cloud Computing,USA,2024,7,Series C,130788,1307,0.01,46.2,IPO Preparation,,Low
Meta,Logistics,France,2022,3,Series D+,129500,8891,0.0687,664.4,Product Pivot,,Medium
Robinhood,HealthTech,USA,2022,11,Public,123278,8620,0.0699,5126.5,IPO Preparation,-0.06,Medium
Dell,Hardware,USA,2020,12,Public,29930,1249,0.0417,4448.3,Product Pivot,-0.45,Low
Google,Cloud Computing,USA,2023,3,Series A,29334,3806,0.1298,21.5,Merger/Acquisition,,Medium
Salesforce,E-Commerce,USA,2023,1,Public,24935,2156,0.0865,1368.7,Product Pivot,-13.25,Medium
Lyft,Cybersecurity,Netherlands,2022,3,Series D+,87712,4739,0.054,635.5,Merger/Acquisition,,Medium
Robinhood,EdTech,Canada,2020,3,Series B,56297,1987,0.0353,163.1,Product Pivot,,Low
Stripe,Social Media,UK,2022,4,Public,55055,3455,0.0628,7512.4,Restructuring,-10.19,Medium
Gorillas,Cloud Computing,Brazil,2022,4,Private Equity,85850,18004,0.2097,2212.6,Merger/Acquisition,,High
Better.com,Logistics,UK,2023,3,Series B,15216,1021,0.0671,80.8,IPO Preparation,,Medium
LinkedIn,Cybersecurity,USA,2023,10,Series C,60761,4788,0.0788,161.6,Market Downturn,,Medium
IBM,FinTech,USA,2022,12,Series A,2495,208,0.0835,47.9,Market Downturn,,Medium
Wayfair,Gaming,USA,2022,8,Public,22914,3371,0.1471,6270.2,Merger/Acquisition,-2.29,Medium
Wayfair,Logistics,USA,2024,8,Public,145416,22757,0.1565,5800.3,Over-hiring Post-COVID,0.83,High
LinkedIn,Hardware,Singapore,2023,1,Series D+,16022,160,0.01,155.5,Regulatory Pressure,,Low
Intel,E-Commerce,Canada,2023,7,Public,130132,26251,0.2017,3266.2,Market Downturn,-7.69,High
Amazon,Gaming,USA,2021,11,Series B,74534,17508,0.2349,118.6,IPO Preparation,,High
Google,EdTech,Germany,2023,2,Series A,42822,1540,0.036,47.8,Over-hiring Post-COVID,,Low
Gorillas,EdTech,Canada,2020,1,Series D+,68138,2876,0.0422,1045.5,Market Downturn,,Low
Oracle,HealthTech,Singapore,2023,3,Public,101834,8551,0.084,5288.5,Regulatory Pressure,-3.09,Medium
Amazon,AI/ML,Netherlands,2024,4,Private Equity,140096,8338,0.0595,1698.5,Cost Cutting,,Medium
Amazon,HealthTech,UK,2022,6,Series D+,31346,4323,0.1379,827.2,Cost Cutting,,Medium
Coinbase,Hardware,Canada,2020,10,Series D+,74143,741,0.01,1019.4,Merger/Acquisition,,Low
Dropbox,Cybersecurity,Germany,2020,5,Series D+,115430,3528,0.0306,900.1,Regulatory Pressure,,Low
Gorillas,Gaming,Germany,2022,4,Series A,24899,6053,0.2431,41.1,IPO Preparation,,High
Wayfair,AI/ML,USA,2022,8,Series C,123682,5657,0.0457,267.8,IPO Preparation,,Low
Better.com,FinTech,USA,2020,11,Series B,49091,10774,0.2195,123.9,Market Downturn,,High
Meta,E-Commerce,UK,2023,12,Series B,36377,5399,0.1484,143.3,Restructuring,,Medium
Uber,Gaming,USA,2023,4,Public,84606,846,0.01,5535.0,Over-hiring Post-COVID,-5.37,Low
Amazon,HealthTech,USA,2022,10,Series D+,78518,13412,0.1708,921.9,Regulatory Pressure,,High
eBay,Social Media,Canada,2024,12,Series B,100354,11097,0.1106,184.5,Market Downturn,,Medium
Wayfair,SaaS,USA,2021,2,Series D+,121332,10138,0.0836,884.9,Merger/Acquisition,,Medium
Salesforce,AI/ML,Germany,2024,3,Series B,87076,12155,0.1396,88.8,Regulatory Pressure,,Medium
Wayfair,AI/ML,UK,2022,6,Private Equity,93008,14692,0.158,2030.2,Over-hiring Post-COVID,,High
Microsoft,Hardware,Brazil,2024,8,Series C,47335,8359,0.1766,136.1,Product Pivot,,High
Cisco,E-Commerce,UK,2023,8,Series B,42964,9205,0.2143,68.1,Merger/Acquisition,,High
Oracle,Cloud Computing,USA,2024,11,Series B,112954,17242,0.1527,136.1,Market Downturn,,High
Getir,EdTech,Germany,2024,9,Series B,116562,1165,0.01,144.8,Restructuring,,Low
LinkedIn,EdTech,France,2022,7,Series D+,67945,5578,0.0821,401.6,Regulatory Pressure,,Medium
Twitter/X,Social Media,Brazil,2024,2,Public,110954,39437,0.3554,4234.4,Product Pivot,-3.87,High
Opendoor,Cybersecurity,USA,2022,8,Series D+,122406,21783,0.178,606.1,Merger/Acquisition,,High
Salesforce,Hardware,USA,2022,7,Series C,98884,30608,0.3095,241.6,Market Downturn,,High
Shopify,Cybersecurity,Netherlands,2022,8,Series D+,60532,14021,0.2316,1102.0,Cost Cutting,,High
Cisco,FinTech,USA,2023,12,Series B,114021,15888,0.1393,153.9,IPO Preparation,,Medium
SAP,Gaming,Germany,2022,3,Series D+,116878,16843,0.1441,793.9,Market Downturn,,Medium
Better.com,SaaS,USA,2023,7,Series C,17640,2065,0.1171,234.5,Cost Cutting,,Medium
Stripe,Logistics,USA,2023,10,Public,3170,31,0.01,2300.7,Cost Cutting,-6.14,Low
Salesforce,Cloud Computing,USA,2023,9,Series B,37019,4495,0.1214,188.2,Merger/Acquisition,,Medium
SAP,HealthTech,USA,2024,3,Series D+,45012,9761,0.2169,989.5,Market Downturn,,High
Unity,Logistics,India,2022,10,Public,104065,7495,0.072,3586.7,IPO Preparation,4.63,Medium
Google,Logistics,Singapore,2022,6,Public,146263,22371,0.153,6439.2,Market Downturn,-10.31,High
Netflix,Hardware,USA,2022,2,Series B,105656,19876,0.1881,116.6,Cost Cutting,,High
Bolt,AI/ML,Australia,2022,2,Series D+,26095,1232,0.0472,708.1,Over-hiring Post-COVID,,Low
Uber,Social Media,USA,2020,5,Public,9130,765,0.0839,5870.4,Product Pivot,-3.32,Medium
eBay,EdTech,UK,2022,5,Private Equity,107961,4163,0.0386,1055.1,Restructuring,,Low
Google,FinTech,USA,2022,7,Series C,74691,4050,0.0542,258.7,Market Downturn,,Medium
Uber,Cybersecurity,Singapore,2024,12,Private Equity,101091,1717,0.017,1572.9,Product Pivot,,Low
Netflix,SaaS,Canada,2023,2,Series D+,64253,3081,0.048,640.2,Product Pivot,,Low
Wayfair,Hardware,India,2022,11,Series D+,61020,14251,0.2336,1014.1,Regulatory Pressure,,High
Spotify,Social Media,Australia,2023,7,Series A,4508,210,0.0468,69.9,Over-hiring Post-COVID,,Low
Better.com,AI/ML,India,2021,5,Series D+,107908,14040,0.1301,558.6,Product Pivot,,Medium
Airbnb,HealthTech,Brazil,2022,6,Series C,996,79,0.0798,100.2,Market Downturn,,Medium
Meta,FinTech,Canada,2023,8,Public,100267,21488,0.2143,996.5,Merger/Acquisition,-2.99,High
Cisco,Hardware,Singapore,2023,10,Series D+,23712,5332,0.2249,751.9,Merger/Acquisition,,High
Coinbase,AI/ML,UK,2022,12,Public,21137,3997,0.1891,3673.7,Regulatory Pressure,-8.85,High
PayPal,SaaS,USA,2024,4,Public,45727,6607,0.1445,5415.7,Product Pivot,-0.07,Medium
Dropbox,EdTech,UK,2024,7,Public,120253,12207,0.1015,5265.2,Market Downturn,-5.49,Medium
Peloton,EdTech,USA,2023,6,Public,120618,2973,0.0247,1793.6,Market Downturn,-15.96,Low
Twilio,Hardware,Germany,2023,10,Private Equity,10384,2860,0.2755,411.1,Cost Cutting,,High
Klarna,EdTech,UK,2023,2,Public,116981,6928,0.0592,5591.9,Over-hiring Post-COVID,-9.08,Medium
Spotify,Social Media,Germany,2022,8,Series C,68759,11901,0.1731,316.3,IPO Preparation,,High
SAP,Social Media,USA,2022,10,Series B,50310,10301,0.2048,99.6,Restructuring,,High
eBay,Cybersecurity,USA,2020,9,Series C,130426,9857,0.0756,101.1,IPO Preparation,,Medium
Amazon,Hardware,UK,2023,5,Public,5261,1068,0.203,5942.8,Regulatory Pressure,1.09,High
Meta,Cybersecurity,Singapore,2023,10,Series C,16875,3056,0.1811,452.6,Cost Cutting,,High
Intel,Hardware,USA,2022,4,Series C,103154,26638,0.2582,333.4,Restructuring,,High
Twitter/X,HealthTech,USA,2024,6,Series B,33475,2760,0.0825,79.3,IPO Preparation,,Medium
Gorillas,Hardware,Canada,2024,8,Series B,133455,2286,0.0171,122.1,Market Downturn,,Low
Wayfair,SaaS,Germany,2023,11,Private Equity,74989,5966,0.0796,680.3,Merger/Acquisition,,Medium
Stripe,FinTech,USA,2023,3,Series C,8881,1214,0.1367,427.0,Cost Cutting,,Medium
Klarna,E-Commerce,USA,2024,10,Public,145367,18121,0.1247,5163.7,IPO Preparation,1.63,Medium
Uber,E-Commerce,USA,2021,11,Series C,63499,5621,0.0885,87.8,Regulatory Pressure,,Medium
SAP,AI/ML,Brazil,2023,11,Public,50407,504,0.01,4398.7,Product Pivot,-1.92,Low
Google,EdTech,USA,2021,1,Series A,141210,22260,0.1576,47.4,Regulatory Pressure,,High
Netflix,FinTech,USA,2023,4,Public,70967,19713,0.2778,4333.9,Regulatory Pressure,-4.26,High
LinkedIn,Logistics,USA,2022,4,Public,43123,6776,0.1571,4448.2,Regulatory Pressure,-14.27,High
Better.com,Social Media,USA,2024,1,Series B,111224,18766,0.1687,61.2,Product Pivot,,High
LinkedIn,Gaming,Australia,2024,9,Series C,103569,17171,0.1658,368.0,Restructuring,,High
Cisco,Cloud Computing,USA,2021,3,Series D+,20496,3110,0.1518,592.5,Market Downturn,,High
Lyft,HealthTech,USA,2023,5,Series D+,106182,20655,0.1945,109.9,Merger/Acquisition,,High
Bolt,EdTech,UK,2024,6,Series A,84109,12753,0.1516,34.1,Restructuring,,High
Getir,EdTech,USA,2023,8,Public,101990,9687,0.095,6962.3,IPO Preparation,-7.24,Medium
Netflix,SaaS,USA,2024,6,Series A,71825,4045,0.0563,33.8,IPO Preparation,,Medium
Klarna,EdTech,Australia,2023,3,Public,29430,2945,0.1001,8476.0,Merger/Acquisition,-2.05,Medium
PayPal,Social Media,Canada,2022,6,Series B,114926,16679,0.1451,140.6,IPO Preparation,,Medium
Klarna,Social Media,Netherlands,2022,1,Series B,18029,1707,0.0947,136.3,Over-hiring Post-COVID,,Medium
PayPal,Cloud Computing,France,2022,4,Public,54046,7844,0.1451,4743.2,Merger/Acquisition,-8.63,Medium
Unity,Hardware,India,2023,6,Series D+,8442,1309,0.1551,778.1,Product Pivot,,High
Airbnb,Logistics,USA,2022,7,Public,8048,1502,0.1867,4473.2,IPO Preparation,-1.13,High
Airbnb,FinTech,Australia,2023,11,Series C,115748,25768,0.2226,263.7,IPO Preparation,,High
Amazon,EdTech,France,2023,11,Series D+,149868,18919,0.1262,969.9,Cost Cutting,,Medium
Klarna,E-Commerce,Australia,2023,10,Series C,98280,1511,0.0154,187.7,Cost Cutting,,Low
SAP,Cybersecurity,UK,2024,3,Public,796,73,0.0924,2848.2,Cost Cutting,-1.03,Medium
Bolt,SaaS,USA,2024,9,Public,68445,8454,0.1235,2753.6,Merger/Acquisition,-8.34,Medium
Better.com,SaaS,France,2022,12,Public,60480,604,0.01,9091.3,Product Pivot,-2.26,Low
Microsoft,E-Commerce,Canada,2024,12,Public,57282,13237,0.2311,6060.7,Merger/Acquisition,0.26,High
Better.com,AI/ML,Brazil,2023,7,Series C,96882,12729,0.1314,336.5,Regulatory Pressure,,Medium
HP,E-Commerce,USA,2023,1,Series A,53944,8119,0.1505,23.1,Market Downturn,,High
Zoom,AI/ML,USA,2024,2,Series C,35536,8146,0.2292,374.8,Product Pivot,,High
Netflix,Gaming,USA,2022,1,Series D+,39822,2771,0.0696,762.7,Product Pivot,,Medium
Lyft,Cybersecurity,Australia,2021,11,Private Equity,52167,8655,0.1659,1628.5,Regulatory Pressure,,High
Spotify,SaaS,USA,2024,9,Series C,95027,10568,0.1112,182.8,Merger/Acquisition,,Medium
Google,E-Commerce,USA,2022,9,Private Equity,83837,8825,0.1053,1596.2,Merger/Acquisition,,Medium
Oracle,Gaming,Brazil,2024,7,Series D+,51968,3025,0.0582,664.4,Cost Cutting,,Medium
Better.com,Hardware,USA,2024,10,Public,73394,18586,0.2532,3468.8,Product Pivot,-2.52,High
Intel,HealthTech,France,2020,3,Public,63638,5724,0.09,6468.2,Cost Cutting,4.83,Medium
Shopify,FinTech,USA,2024,5,Series C,23088,4062,0.176,115.5,Market Downturn,,High
Shopify,Gaming,France,2022,4,Public,63401,634,0.01,6129.6,Over-hiring Post-COVID,-0.38,Low
Twilio,FinTech,Germany,2023,7,Public,149243,31997,0.2144,6369.0,Cost Cutting,0.52,High
Getir,E-Commerce,Netherlands,2023,9,Series D+,83538,17056,0.2042,518.5,Merger/Acquisition,,High
Getir,Logistics,Singapore,2024,12,Series C,139209,17790,0.1278,201.6,IPO Preparation,,Medium
Lyft,Hardware,USA,2020,2,Series C,132232,13467,0.1018,273.2,Restructuring,,Medium
Robinhood,Gaming,USA,2023,8,Public,107711,16372,0.152,5564.1,Over-hiring Post-COVID,-5.61,High
Robinhood,Cybersecurity,USA,2023,9,Series D+,7422,2249,0.3031,751.1,Market Downturn,,High
Opendoor,E-Commerce,India,2023,10,Series C,94197,941,0.01,352.0,IPO Preparation,,Low
